PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,TELEFON,COASTAL,NEW_LIST,KOD,ASG_CODE,MODE_ASG,PRT_CODE,CELLTYPE,REGION,STRAT_INTERVAL,MONTH,COUNTY,TSN1,TSN2,TIME,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,RIG,HRS_DTD,DATE1,DIST,PRIM1,PRIM2,AREA_NC,MODE2001,LICENSE,MONITOR,TOURN,TURTLE,AGE,SEX,ART_REEF,REEFCODE,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,FSHINSP_A,NUM_FISH_A,ZIP,DATE_PUBLISHED
BLUEFISH,STRIPED BASS,201311913wdC:2PM-8PM,201369131729520131107,2013,4,9,7,9,11,604,1,3,C,5,0.5,,200,40,1,0,0,0,0,,8,1729520131107001,4,6,2,,0,0,,Y,,wd,1729520131107,1,1729520131107001,,1,C:2PM-8PM,11,MIDDLESEX,167680,168559,1642,,1,1,8,1,8,,,21JAN201413:52,8,8835020102,8835250101,,0,,8,,,,,,,,,26201.538151,201311913wdC:2PM-8PM,,0,1729520131107001,8,,,06423,03/03/2025
,STRIPED BASS,201312913weC:2PM-8PM,201369131729520131208,2013,4,9,11,9,11,754,5,3,C,5,0.5,0.5,60,20,1,0,0,0,0,,8,1729520131208001,4,6,2,,0,0,,Y,,we,1729520131208,1,1729520131208001,,1,C:2PM-8PM,12,NEW LONDON,167680,,1629,,1,1,8,1,8,,,21JAN201413:52,8,8835020102,,,5,,8,,,,,,,,,2841.6879272,201312913weC:2PM-8PM,,0,1729520131208001,8,,,06382,03/03/2025
,STRIPED BASS,201312913weC:2PM-8PM,201369131729520131208,2013,4,9,11,9,11,754,5,3,C,5,0.5,0.5,300,50,1,0,0,0,0,,8,1729520131208002,4,6,2,,0,0,,Y,,we,1729520131208,1,1729520131208002,,1,C:2PM-8PM,12,NEW LONDON,167680,,1749,,1,1,8,1,8,,,21JAN201413:52,8,8835020102,,,5,,8,,,,,,,,,2841.6879272,201312913weC:2PM-8PM,,0,1729520131208002,8,,,06360,03/03/2025
,STRIPED BASS,201312913weC:2PM-8PM,201369131729520131215,2013,4,9,11,9,11,754,5,3,C,5,1.5,,360,60,1,0,0,0,0,,8,1729520131215001,4,6,2,,0,0,,Y,,we,1729520131215,1,1729520131215001,,1,C:2PM-8PM,12,NEW LONDON,167680,,1650,,1,1,8,1,8,,,21JAN201413:52,8,8835020102,,,5,,8,,,,,,,,,2827.8369326,201312913weC:2PM-8PM,,0,1729520131215001,8,,,06360,03/03/2025
,STRIPED BASS,201312913weC:2PM-8PM,201369131729520131215,2013,4,9,11,9,11,754,5,3,C,5,2,,325,56,1,0,0,0,0,,8,1729520131215002,4,6,2,,0,0,,Y,,we,1729520131215,1,1729520131215002,,1,C:2PM-8PM,12,NEW LONDON,167680,,1732,,1,1,8,1,8,,,21JAN201413:52,8,8835020102,,,5,,8,,,,,,,,,2827.8369326,201312913weC:2PM-8PM,,0,1729520131215002,8,,,06331,03/03/2025
,,201312913weC:2PM-8PM,201369131729520131215,2013,4,9,11,9,11,754,5,3,C,5,0.5,,180,40,1,0,0,0,0,,8,1729520131215003,4,6,2,,0,0,,Y,,we,1729520131215,1,1729520131215003,,1,C:2PM-8PM,12,NEW LONDON,,,1739,,1,1,8,0,8,,,21JAN201413:52,8,,,,5,,8,,,,,,,,,2827.8369326,201312913weC:2PM-8PM,,0,1729520131215003,8,,,06360,03/03/2025
,STRIPED BASS,201312913weC:2PM-8PM,201369131729520131227,2013,4,9,11,9,11,754,5,3,C,5,2.5,,150,40,1,0,0,0,0,,8,1729520131227001,4,6,2,,0,0,,Y,,we,1729520131227,1,1729520131227001,,1,C:2PM-8PM,12,NEW LONDON,167680,,1537,,1,1,8,0,8,,,21JAN201413:52,8,8835020102,,,5,,8,,,,,,,,,2786.6505874,201312913weC:2PM-8PM,,0,1729520131227001,8,,,06420,03/03/2025
,STRIPED BASS,201312913weC:2PM-8PM,201369131729520131227,2013,4,9,11,9,11,754,5,3,C,5,1.5,,70,25,1,0,0,0,0,,8,1729520131227002,4,6,2,,0,0,,Y,,we,1729520131227,1,1729520131227002,,1,C:2PM-8PM,12,NEW LONDON,167680,,1558,,1,1,8,0,8,,,21JAN201413:52,8,8835020102,,,5,,8,,,,,,,,,2786.6505874,201312913weC:2PM-8PM,,0,1729520131227002,8,,,06422,03/03/2025
,STRIPED BASS,201312913weB:8AM-2PM,201369131729620131208,2013,4,9,13,9,11,754,5,3,3,5,1,1,5,0,1,0,0,0,0,,8,1729620131208001,4,6,2,,0,0,,Y,,we,1729620131208,1,1729620131208001,,1,B:8AM-2PM,12,TOLLAND,167680,,1031,,1,1,8,0,8,,,21JAN201413:52,8,8835020102,,,5,,8,,,,,,,,,12089.767946,201312913weB:8AM-2PM,,0,1729620131208001,8,,,06327,03/03/2025
,STRIPED BASS,201312913wdC:2PM-8PM,201369131729620131218,2013,4,9,3,9,11,754,5,3,3,5,4,,90,20,1,0,0,0,0,,8,1729620131218001,4,6,2,,0,0,,Y,,wd,1729620131218,1,1729620131218001,,1,C:2PM-8PM,12,HARTFORD,167680,,1516,,1,1,8,0,8,,,21JAN201413:52,8,8835020102,,,5,,8,,,,,,,,,39902.980456,201312913wdC:2PM-8PM,,0,1729620131218001,8,,,06416,03/03/2025
,STRIPED BASS,201312913wdC:2PM-8PM,201369131729620131218,2013,4,9,3,9,11,754,5,3,3,5,0.5,0,75,20,1,1,0,0,0,,8,1729620131218002,4,6,2,,0,0,,Y,,wd,1729620131218,1,1729620131218002,2,1,C:2PM-8PM,12,HARTFORD,167680,,1522,,1,1,8,1,8,,,21JAN201413:52,8,8835020102,,,5,,8,,,,,,,,,39902.980456,201312913wdC:2PM-8PM,,0,1729620131218002,8,,,06231,03/03/2025
,STRIPED BASS,201312913wdC:2PM-8PM,201369131730420131204,2013,4,9,11,9,11,754,1,3,3,5,1,,50,25,1,0,0,0,0,,8,1730420131204001,4,6,2,,0,0,,Y,,wd,1730420131204,1,1730420131204001,,1,C:2PM-8PM,12,NEW LONDON,167680,,1445,,1,1,8,0,8,,,21JAN201413:52,8,8835020102,,,0,,8,,,,,,,,,15854.961286,201312913wdC:2PM-8PM,,0,1730420131204001,8,,,06360,03/03/2025
,STRIPED BASS,201312913wdC:2PM-8PM,201369131730420131204,2013,4,9,11,9,11,754,5,3,3,5,1,1,20,3,1,0,0,0,0,,8,1730420131204002,4,6,2,,0,0,,Y,,wd,1730420131204,1,1730420131204002,,1,C:2PM-8PM,12,NEW LONDON,167680,,1515,,1,1,8,1,8,,,21JAN201413:52,8,8835020102,,,5,,8,,,,,,,,,15854.961286,201312913wdC:2PM-8PM,,0,1730420131204002,8,,,06363,03/03/2025
,STRIPED BASS,201312913wdC:2PM-8PM,201369131730420131204,2013,4,9,11,9,11,754,1,3,3,5,1,,150,50,1,0,0,0,0,,8,1730420131204003,4,6,2,,0,0,,Y,,wd,1730420131204,1,1730420131204003,,1,C:2PM-8PM,12,NEW LONDON,167680,,1635,,1,1,8,1,8,,,21JAN201413:52,8,8835020102,,,1,,8,,,,,,,,,15854.961286,201312913wdC:2PM-8PM,,0,1730420131204003,8,,,06360,03/03/2025
,,201399904xx,20136904,2013,,,,9,,,,4,,5,,,,,,,,,,,,20136498499xx005,4,6,,,,,,,,xx,,,20136498499xx005,,0,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.47681661,201399904xx,,0,20136498499xx005,8,,,,03/03/2025
,STRIPED BASS,201311915weB:8AM-2PM,201369151729520131110,2013,4,9,9,9,7,442,7,5,C,5,4.5,0,10,2,1,3,0,0,0,5,1,1729520131110001,4,6,2,1,0,6,,Y,1,we,1729520131110,5,1729520131110001,1,1,B:8AM-2PM,11,NEW HAVEN,167680,,1231,,1,1,8,0,8,,,21JAN201413:52,8,8835020102,,,7,,8,,,,,,,,,249.64247948,201311915weB:8AM-2PM,area_x,1,1729520131110001,8,0,3,06460,03/03/2025
,STRIPED BASS,201311915weB:8AM-2PM,201369151729520131110,2013,4,9,9,9,7,442,7,5,C,5,4.5,0,0,0,1,1,0,0,1,5,2,1729520131110002,4,6,2,1,0,6,,Y,1,we,1729520131110,5,1729520131110001,1,1,B:8AM-2PM,11,NEW HAVEN,167680,,1233,,1,1,8,0,8,,,21JAN201413:52,8,8835020102,,,7,,8,,,,,,,,,249.64247948,201311915weC:2PM-8PM,area_x,1,1729520131110002,8,0,2,06513,03/03/2025
BLUEFISH,STRIPED BASS,201311915weB:8AM-2PM,201369151729520131110,2013,4,9,9,9,7,442,7,5,C,5,4.5,0,9,3,1,3,0,0,1,5,2,1729520131110003,4,6,2,1,0,6,,Y,1,we,1729520131110,5,1729520131110001,1,1,B:8AM-2PM,11,NEW HAVEN,167680,168559,1235,,1,1,8,0,8,,,21JAN201413:52,8,8835020102,8835250101,,7,,8,,,,,,,,,249.64247948,201311915weB:8AM-2PM,area_x,1,1729520131110003,8,0,4,06405,03/03/2025
,STRIPED BASS,201311915weB:8AM-2PM,201369151729520131110,2013,4,9,9,9,7,442,7,5,C,5,4.5,0,0,0,1,1,0,0,1,5,2,1729520131110004,4,6,2,1,0,6,,Y,1,we,1729520131110,5,1729520131110001,1,1,B:8AM-2PM,11,NEW HAVEN,167680,,1238,,1,1,8,0,8,,,21JAN201413:52,8,8835020102,,,7,,8,,,,,,,,,249.64247948,201311915weC:2PM-8PM,area_x,1,1729520131110004,8,0,1,06473,03/03/2025
,STRIPED BASS,201311915weB:8AM-2PM,201369151729520131110,2013,4,9,9,9,7,442,7,5,C,5,4.5,0,2,0,1,2,0,0,1,5,2,1729520131110005,4,6,2,1,0,6,,Y,1,we,1729520131110,5,1729520131110001,1,1,B:8AM-2PM,11,NEW HAVEN,167680,,1242,,1,1,8,0,8,,,21JAN201413:52,8,8835020102,,,7,,8,,,,,,,,,249.64247948,201311915weB:8AM-2PM,area_x,1,1729520131110005,8,0,2,06410,03/03/2025
,STRIPED BASS,201311915weC:2PM-8PM,201369151729620131109,2013,4,9,9,9,7,442,7,5,2,5,4,0,6,3,1,3,0,0,0,6,1,1729620131109001,4,6,2,1,0,5,,Y,1,we,1729620131109,5,1729620131109001,1,1,C:2PM-8PM,11,NEW HAVEN,167680,,1716,,1,1,8,0,8,,,21JAN201413:52,8,8835020102,,,7,,8,,,,,,,,,304.74094427,201311915weC:2PM-8PM,area_x,1,1729620131109001,8,0,4,06518,03/03/2025
,STRIPED BASS,201311915weC:2PM-8PM,201369151729620131109,2013,4,9,9,9,7,442,7,5,2,5,4,0,12,10,1,3,0,0,1,6,2,1729620131109002,4,6,2,1,0,5,,Y,1,we,1729620131109,5,1729620131109001,1,1,C:2PM-8PM,11,NEW HAVEN,167680,,1724,,1,1,8,0,8,,,21JAN201413:52,8,8835020102,,,7,,8,,,,,,,,,304.74094427,201311915weC:2PM-8PM,area_x,1,1729620131109002,8,0,3,06518,03/03/2025
